"","X","phantom","vin","PN","Qtde","Price"
"1",1,93712,"319720023","Parafuso 14x100 10.9 com arruelas e porcas",127,12.587125
"2",17,4761,"E-064170842","Parafuso 14x100 10.9 com arruelas e porcas",244,13.861125
"3",35,3941,"431090212","Parafuso 14x100 10.9 com arruelas e porcas",59,13.461
"4",85,26051,"16250665","Parafuso 14x100 10.9 com arruelas e porcas",39,13.54025
"5",119,94826,"689402640","Parafuso 14x100 10.9 com arruelas e porcas",137,14.78775
"6",136,39051,"E-350109585","Parafuso 14x100 10.9 com arruelas e porcas",156,13.041625
"7",154,4761,"704106394","Parafuso 14x100 10.9 com arruelas e porcas",234,13.506125
"8",202,4761,"74106393","Parafuso 14x100 10.9 com arruelas e porcas",195,13.716
"9",217,23740,"24730802","Parafuso 14x100 10.9 com arruelas e porcas",98,14.03025
"10",254,20314,"230104257","Parafuso 14x100 10.9 com arruelas e porcas",117,14.33375
"11",270,68517,"805671242","Parafuso 14x100 10.9 com arruelas e porcas",29,12.557
"12",321,23740,"E-702340958","Parafuso 14x100 10.9 com arruelas e porcas",88,14.493
"13",337,23740,"7234368","Parafuso 14x100 10.9 com arruelas e porcas",137,12.776875
"14",354,26051,"E-001265752","Parafuso 14x100 10.9 com arruelas e porcas",88,14.4955
"15",370,93712,"730219427","Parafuso 14x100 10.9 com arruelas e porcas",166,14.135625
"16",388,39051,"E-015930917","Parafuso 14x100 10.9 com arruelas e porcas",176,14.1215
"17",404,18025,"580120253","Parafuso 14x100 10.9 com arruelas e porcas",98,14.5415
"18",450,39051,"E-195030340","Parafuso 14x100 10.9 com arruelas e porcas",195,12.5725
"19",472,18025,"E-285001231","Parafuso 14x100 10.9 com arruelas e porcas",156,14.20175
"20",535,26051,"205106470","Parafuso 14x100 10.9 com arruelas e porcas",20,13.193625
"21",551,3941,"90143172","Parafuso 14x100 10.9 com arruelas e porcas",20,13.43775
"22",566,39051,"E-915300918","Parafuso 14x100 10.9 com arruelas e porcas",88,14.60675
"23",584,20314,"E-040312583","Parafuso 14x100 10.9 com arruelas e porcas",205,14.12325
"24",632,3941,"419030677","Parafuso 14x100 10.9 com arruelas e porcas",127,12.690125
"25",665,94826,"E-980642250","Parafuso 14x100 10.9 com arruelas e porcas",195,13.739125
"26",680,5386,"53068256","Parafuso 14x100 10.9 com arruelas e porcas",205,13.250375
"27",733,3941,"E-401903810","Parafuso 14x100 10.9 com arruelas e porcas",88,12.70975
"28",751,60435,"E-060354666","Parafuso 14x100 10.9 com arruelas e porcas",166,13.829625
"29",801,5386,"E-600385340","Parafuso 14x100 10.9 com arruelas e porcas",59,13.880875
"30",818,3941,"E-309014150","Parafuso 14x100 10.9 com arruelas e porcas",59,12.698875
"31",836,60435,"35046736","Parafuso 14x100 10.9 com arruelas e porcas",137,13.82375
"32",853,68517,"78615124","Parafuso 14x100 10.9 com arruelas e porcas",225,14.330625
"33",866,4761,"E-160470699","Parafuso 14x100 10.9 com arruelas e porcas",254,13.896125
"34",903,18025,"E-085210713","Parafuso 14x100 10.9 com arruelas e porcas",137,13.444375
"35",956,10847,"E-701048166","Parafuso 14x100 10.9 com arruelas e porcas",156,14.3055
"36",973,26051,"E-605021498","Parafuso 14x100 10.9 com arruelas e porcas",107,13.33025
"37",1023,20314,"E-002143458","Parafuso 14x100 10.9 com arruelas e porcas",254,13.376625
"38",1076,20314,"21043268","Parafuso 14x100 10.9 com arruelas e porcas",20,13.485
"39",1166,94826,"E-920468841","Parafuso 14x100 10.9 com arruelas e porcas",205,12.557875
"40",1197,10847,"E-481007268","Parafuso 14x100 10.9 com arruelas e porcas",147,14.401625
"41",1211,26051,"E-206510524","Parafuso 14x100 10.9 com arruelas e porcas",88,13.114375
"42",1241,3941,"E-910430594","Parafuso 14x100 10.9 com arruelas e porcas",68,14.347875
"43",1276,39051,"10953308","Parafuso 14x100 10.9 com arruelas e porcas",225,14.371625
"44",1306,94826,"840269909","Parafuso 14x100 10.9 com arruelas e porcas",107,12.611875
"45",1321,39051,"E-901053659","Parafuso 14x100 10.9 com arruelas e porcas",254,13.3675
"46",1338,19235,"E-035291916","Parafuso 14x100 10.9 com arruelas e porcas",117,13.966625
"47",1357,10847,"E-040871585","Parafuso 14x100 10.9 com arruelas e porcas",156,13.295375
"48",1375,3941,"E-014309575","Parafuso 14x100 10.9 com arruelas e porcas",98,12.958375
"49",1391,5386,"E-856003112","Parafuso 14x100 10.9 com arruelas e porcas",10,14.576
"50",1406,23740,"E-370420422","Parafuso 14x100 10.9 com arruelas e porcas",195,14.298875
"51",1423,23740,"E-004372953","Parafuso 14x100 10.9 com arruelas e porcas",20,12.624
"52",1438,4761,"E-701460303","Parafuso 14x100 10.9 com arruelas e porcas",147,13.863875
"53",1454,39051,"100593954","Parafuso 14x100 10.9 com arruelas e porcas",68,13.87175
"54",1468,23740,"E-020347272","Parafuso 14x100 10.9 com arruelas e porcas",98,13.288625
"55",1484,19235,"509123421","Parafuso 14x100 10.9 com arruelas e porcas",78,13.007875
"56",1503,19235,"E-320951347","Parafuso 14x100 10.9 com arruelas e porcas",137,12.935375
"57",1520,18025,"E-012580646","Parafuso 14x100 10.9 com arruelas e porcas",166,13.197
"58",1537,93712,"E-931270087","Parafuso 14x100 10.9 com arruelas e porcas",20,14.329375
"59",1563,60435,"504603016","Parafuso 14x100 10.9 com arruelas e porcas",78,14.56125
"60",1581,5386,"56830585","Parafuso 14x100 10.9 com arruelas e porcas",186,12.510625
"61",1592,39051,"E-100395805","Parafuso 14x100 10.9 com arruelas e porcas",225,14.2625
"62",1607,26051,"E-102605954","Parafuso 14x100 10.9 com arruelas e porcas",137,13.307625
"63",1627,10847,"E-017840231","Parafuso 14x100 10.9 com arruelas e porcas",254,14.714125
"64",1673,54019,"19405210","Parafuso 14x100 10.9 com arruelas e porcas",117,12.82975
"65",1708,87213,"E-217830295","Parafuso 14x100 10.9 com arruelas e porcas",68,14.17875
"66",1725,60435,"E-560403389","Parafuso 14x100 10.9 com arruelas e porcas",166,14.446
"67",1742,3941,"340190613","Parafuso 14x100 10.9 com arruelas e porcas",215,13.15825
"68",1756,26051,"60251868","Parafuso 14x100 10.9 com arruelas e porcas",166,12.967
"69",1772,3941,"930140933","Parafuso 14x100 10.9 com arruelas e porcas",225,13.268875
"70",1791,68517,"581670721","Parafuso 14x100 10.9 com arruelas e porcas",39,14.899
"71",1892,60435,"34506192","Parafuso 14x100 10.9 com arruelas e porcas",88,12.907
"72",1912,68517,"E-186570384","Parafuso 14x100 10.9 com arruelas e porcas",215,13.584375
"73",1944,87213,"E-031287786","Parafuso 14x100 10.9 com arruelas e porcas",29,12.5195
"74",1964,26051,"E-510260896","Parafuso 14x100 10.9 com arruelas e porcas",244,14.511
"75",1979,18025,"E-500821670","Parafuso 14x100 10.9 com arruelas e porcas",78,14.221
"76",2001,10847,"E-047108271","Parafuso 14x100 10.9 com arruelas e porcas",234,13.50225
"77",2032,39051,"E-305190894","Parafuso 14x100 10.9 com arruelas e porcas",29,12.978375
"78",2064,94826,"862490224","Parafuso 14x100 10.9 com arruelas e porcas",49,13.8245
"79",2135,26051,"65210485","Parafuso 14x100 10.9 com arruelas e porcas",127,13.61075
"80",2164,93712,"E-293170747","Parafuso 14x100 10.9 com arruelas e porcas",29,12.611
"81",2180,93712,"E-279310739","Parafuso 14x100 10.9 com arruelas e porcas",59,14.05525
"82",2197,68517,"E-876510432","Parafuso 14x100 10.9 com arruelas e porcas",127,14.15125
"83",2214,3941,"943100376","Parafuso 14x100 10.9 com arruelas e porcas",107,13.883125
"84",2264,60435,"E-540306256","Parafuso 14x100 10.9 com arruelas e porcas",49,12.781125
"85",2301,18025,"E-012508394","Parafuso 14x100 10.9 com arruelas e porcas",234,14.71425
"86",2315,3941,"3941642","Parafuso 14x100 10.9 com arruelas e porcas",59,14.427125
"87",2329,26051,"52061465","Parafuso 14x100 10.9 com arruelas e porcas",234,13.90775
"88",2348,87213,"271830401","Parafuso 14x100 10.9 com arruelas e porcas",156,13.965
"89",2361,18025,"E-025081989","Parafuso 14x100 10.9 com arruelas e porcas",127,12.998125
"90",2417,23740,"23470075","Parafuso 14x100 10.9 com arruelas e porcas",127,13.541375
"91",2432,10847,"E-081470270","Parafuso 14x100 10.9 com arruelas e porcas",147,12.973125
"92",2467,68517,"71586132","Parafuso 14x100 10.9 com arruelas e porcas",10,14.45575
"93",2518,26051,"E-501260661","Parafuso 14x100 10.9 com arruelas e porcas",78,12.73125
"94",2534,26051,"E-106205683","Parafuso 14x100 10.9 com arruelas e porcas",225,13.96625
"95",2548,68517,"706851318","Parafuso 14x100 10.9 com arruelas e porcas",215,12.546625
"96",2581,3941,"E-410039140","Parafuso 14x100 10.9 com arruelas e porcas",68,14.547625
"97",2592,4761,"E-076140584","Parafuso 14x100 10.9 com arruelas e porcas",107,14.317625
"98",2637,3941,"E-301049533","Parafuso 14x100 10.9 com arruelas e porcas",137,12.75525
"99",2653,39051,"109053595","Parafuso 14x100 10.9 com arruelas e porcas",137,14.96275
"100",2683,68517,"E-508761043","Parafuso 14x100 10.9 com arruelas e porcas",244,14.093875
"101",2717,94826,"E-968402604","Parafuso 14x100 10.9 com arruelas e porcas",225,13.3555
"102",2733,26051,"102065618","Parafuso 14x100 10.9 com arruelas e porcas",254,13.50775
"103",2750,39051,"310590627","Parafuso 14x100 10.9 com arruelas e porcas",137,13.653875
"104",2766,19235,"E-529103679","Parafuso 14x100 10.9 com arruelas e porcas",39,13.66925
"105",2802,54019,"E-495100022","Parafuso 14x100 10.9 com arruelas e porcas",244,14.832125
"106",2818,4761,"E-167040115","Parafuso 14x100 10.9 com arruelas e porcas",205,14.579875
"107",2836,60435,"E-430056346","Parafuso 14x100 10.9 com arruelas e porcas",127,14.826375
"108",2850,87213,"E-307182224","Parafuso 14x100 10.9 com arruelas e porcas",254,13.039625
"109",2891,10847,"810047243","Parafuso 14x100 10.9 com arruelas e porcas",166,12.682375
"110",2926,94826,"68249325","Parafuso 14x100 10.9 com arruelas e porcas",20,12.913875
"111",2954,3941,"940310657","Parafuso 14x100 10.9 com arruelas e porcas",147,13.143375
"112",2972,54019,"5419955","Parafuso 14x100 10.9 com arruelas e porcas",186,13.796625
"113",2992,39051,"310059655","Parafuso 14x100 10.9 com arruelas e porcas",127,14.05775
"114",3021,93712,"190732209","Parafuso 14x100 10.9 com arruelas e porcas",29,12.72475
"115",3035,94826,"E-904826978","Parafuso 14x100 10.9 com arruelas e porcas",147,14.89175
"116",3064,23740,"703024531","Parafuso 14x100 10.9 com arruelas e porcas",68,14.5915
"117",3076,4761,"E-460170778","Parafuso 14x100 10.9 com arruelas e porcas",147,14.763875
"118",3091,93712,"E-730192543","Parafuso 14x100 10.9 com arruelas e porcas",68,13.522125
"119",3125,23740,"200347885","Parafuso 14x100 10.9 com arruelas e porcas",225,14.878
"120",3140,60435,"E-405603779","Parafuso 14x100 10.9 com arruelas e porcas",78,13.654375
"121",3151,60435,"56043880","Parafuso 14x100 10.9 com arruelas e porcas",107,13.013375
"122",3178,19235,"E-109325918","Parafuso 14x100 10.9 com arruelas e porcas",244,12.717875
"123",3198,20314,"E-213004898","Parafuso 14x100 10.9 com arruelas e porcas",137,14.5195
"124",3212,68517,"105687561","Parafuso 14x100 10.9 com arruelas e porcas",225,12.9525
"125",3225,4761,"E-716400588","Parafuso 14x100 10.9 com arruelas e porcas",186,13.072625
"126",3242,10847,"84017560","Parafuso 14x100 10.9 com arruelas e porcas",98,13.99125
"127",3271,87213,"720381453","Parafuso 14x100 10.9 com arruelas e porcas",234,14.868
"128",3288,26051,"20651288","Parafuso 14x100 10.9 com arruelas e porcas",117,14.573125
"129",3345,54019,"E-045109204","Parafuso 14x100 10.9 com arruelas e porcas",254,14.694625
"130",3365,26051,"21650694","Parafuso 14x100 10.9 com arruelas e porcas",166,12.717625
"131",3380,23740,"73240257","Parafuso 14x100 10.9 com arruelas e porcas",39,14.18125
"132",3402,93712,"19273927","Parafuso 14x100 10.9 com arruelas e porcas",205,12.859875
"133",3430,3941,"1934424","Parafuso 14x100 10.9 com arruelas e porcas",49,13.940875
"134",3445,60435,"E-354600395","Parafuso 14x100 10.9 com arruelas e porcas",20,12.714875
"135",3461,94826,"E-294608057","Parafuso 14x100 10.9 com arruelas e porcas",215,14.621
"136",3496,54019,"59041086","Parafuso 14x100 10.9 com arruelas e porcas",254,13.37275
"137",3512,3941,"E-193040671","Parafuso 14x100 10.9 com arruelas e porcas",29,14.3055
"138",3541,60435,"E-350604846","Parafuso 14x100 10.9 com arruelas e porcas",39,14.367125
"139",3562,87213,"381702876","Parafuso 14x100 10.9 com arruelas e porcas",127,13.30975
"140",3595,3941,"301049120","Parafuso 14x100 10.9 com arruelas e porcas",20,14.454375
"141",3611,54019,"41059132","Parafuso 14x100 10.9 com arruelas e porcas",88,13.80025
"142",3642,60435,"E-460530061","Parafuso 14x100 10.9 com arruelas e porcas",88,14.90375
"143",3655,60435,"E-605403767","Parafuso 14x100 10.9 com arruelas e porcas",156,14.8515
"144",3671,39051,"509310795","Parafuso 14x100 10.9 com arruelas e porcas",39,12.82825
"145",3683,93712,"E-372091063","Parafuso 14x100 10.9 com arruelas e porcas",117,14.824
"146",3751,60435,"E-300645402","Parafuso 14x100 10.9 com arruelas e porcas",215,14.317
"147",3766,18025,"205801542","Parafuso 14x100 10.9 com arruelas e porcas",127,14.270875
"148",3783,94826,"E-092846800","Parafuso 14x100 10.9 com arruelas e porcas",186,13.65725
"149",3816,19235,"209315160","Parafuso 14x100 10.9 com arruelas e porcas",156,13.422375
"150",3833,94826,"E-098264448","Parafuso 14x100 10.9 com arruelas e porcas",176,14.399125
"151",3855,23740,"302704536","Parafuso 14x100 10.9 com arruelas e porcas",137,14.774375
"152",3870,18025,"E-082105391","Parafuso 14x100 10.9 com arruelas e porcas",98,14.364125
"153",3887,4761,"E-140760457","Parafuso 14x100 10.9 com arruelas e porcas",244,14.670375
"154",3904,4761,"741006932","Parafuso 14x100 10.9 com arruelas e porcas",59,14.18925
"155",3918,10847,"E-704108261","Parafuso 14x100 10.9 com arruelas e porcas",176,13.364125
"156",3936,19235,"295301464","Parafuso 14x100 10.9 com arruelas e porcas",88,13.548375
"157",3976,19235,"E-321950431","Parafuso 14x100 10.9 com arruelas e porcas",29,14.204125
